Bucket,Score,Company,Title,Template,Folder,URL,Skills Added,Authentic Missing (all),Matched (CSV),Compile
SDE,98.00,Chewy,Software Engineer II,SEPY,Company_wise_Resume/Chewy_Software_Engineer_II,https://careers.chewy.com/us/en/job/CHINUSR29491EXTERNALENUS/Software-Engineer-II?utm_source=linkedin&utm_medium=phenom-feeds?gh_src=o8ua3y1,Jenkins,Jenkins,"Python, React, Java, SQL, APIs, Machine Learning, AI/LLM platforms, Computer Science fundamentals, Object-oriented design, Data structures, Algorithm design, Software development life cycle, Coding standards, Code reviews, Source control management, Testing, Application performance tuning, GitHub, DevOps, AWS, Terraform",OK
SDE,98.00,Affirm,"Software Engineer I, Full-Stack (Home and Search Experience)",FS,Company_wise_Resume/Affirm_Software_Engineer_I_Full-Stack_Home_and_Search_Experi,https://job-boards.greenhouse.io/affirm/jobs/7685236003?gh_src=689c81d53us,Backend Systems Development; Distributed Systems,Backend Systems Development; Distributed Systems,"Python, API Development, AWS, MySQL, Kubernetes, Code Debugging, Code Review",OK
SDE,98.00,Slang AI,Backend Software Engineer,SEJV,Company_wise_Resume/Slang_AI_Backend_Software_Engineer,https://easyapply.jobs/r/hFHLGjh26oIi5h3CzyDg,GCP,GCP,"JVM languages, RESTful APIs, GraphQL APIs, NoSQL databases, Data modeling, Containerization, Docker, Cloud platforms, AWS, Azure, Software testing, Debugging, Troubleshooting, React, TypeScript",OK
SDE,98.00,Salesforce,Software Engineering AMTS (College Grad),SEPY,Company_wise_Resume/Salesforce_Software_Engineering_AMTS_College_Grad,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/California---San-Francisco/Software-Engineering-AMTS-MTS--College-Grad-_JR330400-1?source=LinkedIn_Jobs,Automated Testing,Automated Testing,"Object-oriented programming, Java, Python, JavaScript, HTML, SQL, C++, Software development process, Unit testing, Functional testing",OK
SDE,98.00,Goldman Sachs,Asset & Wealth Management-Software Engineering-Associate-Dallas,SEPY,Company_wise_Resume/Goldman_Sachs_Asset_Wealth_Management-Software_Engineering-A,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/163040/?utm_medium=jobshare&mode=job&iis=LinkedIn,Agile,Agile,"Java, Object Oriented Development, Microservices Architecture, API Development, Relational Databases, NoSQL Databases, Source Control Management, Application Architecture Design Patterns",OK
SDE,98.00,Baseten,Software Engineer - Core Product,SEPY,Company_wise_Resume/Baseten_Software_Engineer_-_Core_Product,https://jobs.ashbyhq.com/baseten/fc6e5f2e-eb2d-4a6c-8a51-8422e8662bde/application?utm_source=worNde4l4L,,,"Python, JavaScript, Web applications, Databases, Machine learning infrastructure, API design",OK
SDE,98.00,Cadence,C++ Software Engineer,SEPY,Company_wise_Resume/Cadence_C_Software_Engineer,https://cadence.wd1.myworkdayjobs.com/External_Careers/job/SAN-JOSE/Software-Engineer_R53008-1?source=LinkedIn,,,"C++, C, Software Engineering, Algorithm Design",OK
SDE,98.00,Toast,"Software Engineer II (Backend), Payments",SEJV,Company_wise_Resume/Toast_Software_Engineer_II_Backend_Payments,https://careers.toasttab.com/jobs?gh_jid=7765938&gh_src=dbd19ebc1,,,"API development, API lifecycle management, Microservices architecture, Containerization, DynamoDB, PostgreSQL",OK
SDE,97.86,Acceler8 Talent,Software Engineer,SEPY,Company_wise_Resume/Acceler8_Talent_Software_Engineer,https://www.linkedin.com/jobs/view/4406785836,,RAG,"Python, APIs, Databases, AI/ML, Large Language Models, Multimodal AI, Cloud Systems, Containerization",OK
SDE,97.70,Substack,Full Stack Software Engineer - Community,FS,Company_wise_Resume/Substack_Full_Stack_Software_Engineer_-_Community,https://substack.com/jobs?ashby_jid=46b21719-a949-44ab-8b0f-8baa1c7f0392&utm_source=RK4zl3ZOGq,,,"Software Engineering, TypeScript, Node.js, Express, React, PostgreSQL",OK
