Company,Title,Location,Publish Time,Salary,Work Model,Match Score,Applicants,Min YOE,H1B Sponsor,Matched Skills,Missing Skills,URL,Apply Link
Cresta,"Senior/Staff Backend Engineer (AI Agent), Remote",United States,2 hours ago,$190K/yr - $300K/yr,Remote,89.4234,200,4,True,"Cloud services, API design, Containerization Kubernetes, Containerization Docker, Cloud environments Azure","Backend system architecture, Database optimization, Cloud environments AWS, Cloud environments Google Cloud",https://jobright.ai/jobs/info/b2b_1769670052353_604,https://jobright.ai/jobs/info/b2b_1769670052353_604
Uber,Senior Software Engineer - Middleware - AV Labs,"Sunnyvale, California, United States",12 minutes ago,$202K/yr - $224K/yr,Onsite,96.3092,31,3,True,"Python, C++, Linux",Robot Operating System,https://jobright.ai/jobs/info/69f7db800b36ff035475843a,https://www.uber.com/careers/list/159127
SMBC Group,Application Developer,"Charlotte, NC",8 hours ago,N/A,Hybrid,98.0,200,2,True,"Java, React.js, Object-oriented programming, RESTful APIs, Microservices architecture, JavaScript, TypeScript, HTML5, CSS, Azure cloud services, Databases, Git, CI/CD, Docker, Kubernetes","Full stack development, Agile methodologies",https://jobright.ai/jobs/info/6969aec1639b452fb57f9ec4,https://careers.smbcgroup.com/smbc/job/Charlotte-Application-Developer-NC-28202/1356833300/?feedId=391600&utm_source=LinkedInJobPostings&utm_campaign=SMBC_LinkedIn&mode=job&iis=SOURCE&iisn=LINKEDIN
Vectra AI,Senior Data Platform Engineer,"Austin, TX",1 hour ago,$150K/yr - $180K/yr,Onsite,89.6519,51,2,True,"Software development, Real time data processing, Databases, Data management, Object oriented programming, Python, Data structures, Algorithms, Unix/Linux, Source control, Git, Containerization, Docker, Kubernetes, Cloud providers, AWS, Debugging",Data production platforms,https://jobright.ai/jobs/info/69f510c812f2811ab5a62c38,https://boards.greenhouse.io/embed/job_app?token=7815917&utm_source=jobright
Cetera Financial Group,Senior Software Engineer,"Dallas, TX",9 hours ago,$122K/yr - $157K/yr,Hybrid,98.0,141,5,True,"Python, Agentic AI frameworks, AWS SageMaker, AWS Lambda, AWS services, RESTful APIs, Microservices, Software design patterns","AWS Bedrock, Microsoft technology stack, Analytical skills",https://jobright.ai/jobs/info/69bdd04ab106024562830fb0,https://ebhu.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/6201/?utm_medium=jobshare
Klaviyo,Software Engineer II - WhatsApp,"Boston, MA",12 hours ago,$116K/yr - $174K/yr,Onsite,84.8053,200,3,True,"Software Engineering, Code Review, Testing Practices, Python, React, Machine Learning Concepts, Cloud-native Solutions, AWS","Full Stack Development, Front-end Technologies, Back-end Technologies, Agile Methodologies, Digital Marketing Software, Customer Data Software",https://jobright.ai/jobs/info/69a135086b458d060735f0fc,https://www.klaviyo.com/careers/jobs?gh_jid=7646546003&gh_src=1284ec8c3us
Qualcomm,Agentic AI Benchmarking and Evaluation Engineer,"San Diego, CA",10 hours ago,$123K/yr - $184K/yr,Onsite,92.7288,200,2,True,"Software development, Debugging, Machine learning fundamentals, Generative AI, Large language models, Neural network architectures, PyTorch, Python, AI agent frameworks","TensorFlow, Hardware acceleration optimization, Embedded systems",https://jobright.ai/jobs/info/69f74496a3d34b4f76f5b087,https://careers.qualcomm.com/careers/job/446715596289?hl=en-US&utm_source=linkedin&domain=qualcomm.com&source=APPLICANT_SOURCE-6-2
Chime,"Mobile Full-Stack Engineer, Multiplayer","San Francisco, CA",11 hours ago,$133K/yr - $184K/yr,Hybrid,85.709,200,3,True,"API development, Web development - React, Mobile development - React Native, Performance optimization, Testing, Deployment, Growth mindset","Full-stack software development, Backend services development, Service-based architecture, Scalable systems, Reliability engineering",https://jobright.ai/jobs/info/69c35dae94007a2195dfc82d,https://boards.greenhouse.io/chime/jobs/8457578002?gh_jid=8457578002&gh_src=35f490fd2&source=LinkedIn
JPMorganChase,Software Engineer III - Python/AWS/Kafka,"Jersey City, NJ",12 hours ago,$133K/yr - $185K/yr,Onsite,98.0,83,3,True,"Python, AWS Cloud services, AWS Lambda, AWS API Gateway, AWS DynamoDB, AWS S3, SQL databases, RESTful APIs, Microservices, Docker, Git, CI/CD","AWS RDS, AWS SQS, AWS SNS, AWS CloudWatch",https://jobright.ai/jobs/info/69f72a11db88714bcdfb81cb,https://JPMorganChase.contacthr.com/151951088
Iru,"Senior Software Engineer, Full Stack, Iru AI","Miami, FL",10 hours ago,N/A,Hybrid,88.3035,115,3,True,"Frontend frameworks - React, AI/LLM integration, Prompt engineering, AI agents development, RESTful API design, Cloud platforms - AWS, Microservices patterns, Event-driven architecture, Docker, Container orchestration - Kubernetes, Unit testing, Integration testing, CI/CD pipelines","Backend programming - Python, Backend programming - Go, Backend programming - Java, Frontend frameworks - TypeScript, AI tool orchestration, Agent-based systems, GRPC services, Cloud platforms - GCP, Service-oriented architecture, Message brokers - Kafka, Message brokers - RabbitMQ, Container orchestration - ECS, Database modeling",https://jobright.ai/jobs/info/69bdd520b1060245628323f0,https://jobs.lever.co/iru/8b92176d-9be2-47f9-9785-0e92db48a69d/apply?source=LinkedIn
Chainguard,Software Engineer (Libraries Platform),United States,3 hours ago,$120K/yr - $140K/yr,Remote,82.7095,69,3,True,"CI/CD, Cloud-native infrastructure, Containers Docker/OCI, Containers Kubernetes, Public cloud Azure, Terraform, GitHub Actions, Performance tuning","Go (Golang), Infrastructure for language ecosystems, Developer tooling, Automation, Public cloud GCP, Public cloud AWS, Argo, Tekton, Reliability engineering (SRE)",https://jobright.ai/jobs/info/69e17de2fd1c0456f3fae8cc,https://boards.greenhouse.io/embed/job_app?token=4673133006&utm_source=jobright
Quantifi,AI Engineer,"New York, New York",16 hours ago,$180K/yr - $200K/yr,Onsite,92.305,32,3,True,"Python, TypeScript, Node.js, AI/ML fundamentals, Large Language Models (LLMs), AI agents development, Deployment, Data pipelines, Prompt engineering","Retrieval systems, Backend infrastructure for AI applications, Distributed systems concepts, Agent orchestration, Intelligent routing logic",https://jobright.ai/jobs/info/69f757a3a3d34b4f76f5b635,https://quantifisolutions.freshteam.com/jobs/_BdrQBi1EkVS/ai-engineer
SS&C Technologies,Software Engineer,"San Francisco, CA",9 hours ago,N/A,Hybrid,83.2259,200,3,True,"Java, REST APIs, Relational Databases, NoSQL Databases, Computer Science Fundamentals, Containers, Container Orchestration","Spring Framework, Software Architecture, C#, .NET Development, Messaging Systems, Agile, Scrum",https://jobright.ai/jobs/info/69ec79840a6e09555304e2f8,https://www.linkedin.com/jobs/view/4335758975
Uber,Software Engineer II - Grocery & Retail,"New York, NY",19 hours ago,N/A,Onsite,93.9976,54,2,True,"Java, C++, Python, Microservices architecture, Code review, Unit testing, Integration testing, Algorithm development, Data structures","Go, Backend development, Distributed systems, Complexity analysis",https://jobright.ai/jobs/info/69f6f0f3582f810f9c8ca9c1,https://tnl2.jometer.com/v2/job?jz=5wqzs98ab76aa9adf43be743ca79443f70821KMAGUCAAAABQ&iis=Job%20Board%20-%20Recruitment%20Marketing&iisn=LinkedIn
Two Sigma,AI Research Scientist - Campus Full-Time,"New York, United States",8 hours ago,$200K/yr - $220K/yr,Hybrid,91.9618,200,N/A,True,"Machine Learning, Deep Learning, Large Language Models, Reinforcement Learning, Python, PyTorch, Cloud Environments, Version Control Systems, Regression Testing, Unit Testing, Code Reviews","TensorFlow, JAX, Multi-machine CPU/GPU setups, Profiling",https://jobright.ai/jobs/info/696880d3f25a38006696f529,https://careers.twosigma.com/careers/JobDetail/New-York-New-York-United-States-AI-Research-Scientist-Campus-Full-Time/13671?source=LinkedIn
Glimpse,Software Engineer,"New York, NY",11 hours ago,$130K/yr - $200K/yr,Onsite,95.5198,200,3,True,"Python, Node.js, Large Language Models (LLMs), MongoDB, PostgreSQL, Team-oriented attitude","Full-stack development, Next.js",https://jobright.ai/jobs/info/69bd8c254828227293ffc822,https://jobs.ashbyhq.com/glimpse/767a3a59-53d6-4306-afae-6b05a265ba82/application?utm_source=4M0PNbwNk7&src=linkedin
ŌURA,iOS Engineer,United States,9 hours ago,$142K/yr - $178K/yr,Remote,78.3926,200,3,True,"Git, Code review workflows, Unit testing, Manual testing, Computer science fundamentals, Design patterns","IOS app development, Swift, IOS app architectures, Third-party iOS libraries, Frameworks, Collaborative development",https://jobright.ai/jobs/info/68dd95e7ddc10244dd681463,https://job-boards.greenhouse.io/oura/jobs/4024449009?gh_src=lbbc4gkk9us
Harvey,"Software Engineer, Developer Experience (DevEx)","San Francisco, CA",9 hours ago,$175K/yr - $250K/yr,Onsite,86.8508,200,3,True,"Software Engineering, Python, CI/CD Systems, Test Frameworks, Container Technologies, AI Integration","Backend Development, Distributed Systems, Load, Performance Testing, Infrastructure as Code",https://jobright.ai/jobs/info/6969ac07639b452fb57f9c5e,https://jobs.ashbyhq.com/harvey/823658d8-21ae-46e5-ac93-1454e6527c63?utm_source=58AzKxpoq0
CommerceIQ,Software Engineer,"Mountain View, California, United States",21 hours ago,$140K/yr - $170K/yr,Onsite,89.5817,49,2,True,"Java, Python, AI tools, Cloud services, Microservices, CI/CD","Backend development, Full-stack development, Eagerness to learn",https://jobright.ai/jobs/info/69e16ad9fd1c0456f3fae386,https://boards.greenhouse.io/embed/job_app?token=7703493003&utm_source=jobright
Microsoft,Senior Software Engineer,"Redmond, WA",10 hours ago,$120K/yr - $235K/yr,Onsite,88.7345,25,4,True,"C, C++, Java, JavaScript, Python, Recommendation Systems, Large Language Models, Multimodal AI, AI-driven Reasoning Systems, Image Processing, Computer Vision","C#, Search Systems, Information Retrieval, Evaluation Frameworks, Experimentation Approaches, Quality Metrics, Content Understanding, Product Intuition",https://jobright.ai/jobs/info/69f74ccea3d34b4f76f5b268,https://apply.careers.microsoft.com/careers/job/1970393556851579?utm_source=linkedin&domain=microsoft.com&src=LinkedIn
GEM,Software Developer,"Charlotte, NC",23 hours ago,N/A,Hybrid,85.9207,52,N/A,True,"Angular, Azure, GitHub, SQL, Python, Software Development, ETL","UX/UI Design, AI-enabled Development Tools, Financial Services Software, Data Warehouse, Portfolio/Risk Modeling, Stakeholder Management",https://jobright.ai/jobs/info/69f69a9bb1fc847fc1ae40ec,https://globalendowment.hrmdirect.com/employment/job-opening.php?req=3652891&req_loc=1241171&&
