Bucket,Score,Company,Title,Template,Folder,URL,Apply Link,Skills Added,Authentic Missing (all),Matched (CSV),Compile
SDE,98.00,SMBC Group,Application Developer,SEPY,Company_wise_Resume/SMBC_Group_Application_Developer,https://jobright.ai/jobs/info/6969aec1639b452fb57f9ec4,https://careers.smbcgroup.com/smbc/job/Charlotte-Application-Developer-NC-28202/1356833300/?feedId=391600&utm_source=LinkedInJobPostings&utm_campaign=SMBC_LinkedIn&mode=job&iis=SOURCE&iisn=LINKEDIN,Full stack development; Agile,Full stack development; Agile,"Java, React.js, Object-oriented programming, RESTful APIs, Microservices architecture, JavaScript, TypeScript, HTML5, CSS, Azure cloud services, Databases, Git, CI/CD, Docker, Kubernetes",FAIL
SDE,98.00,Cetera Financial Group,Senior Software Engineer,SEPY,Company_wise_Resume/Cetera_Financial_Group_Senior_Software_Engineer,https://jobright.ai/jobs/info/69bdd04ab106024562830fb0,https://ebhu.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/6201/?utm_medium=jobshare,,,"Python, Agentic AI frameworks, AWS SageMaker, AWS Lambda, AWS services, RESTful APIs, Microservices, Software design patterns",FAIL
SDE,98.00,JPMorganChase,Software Engineer III - Python/AWS/Kafka,SEPY,Company_wise_Resume/JPMorganChase_Software_Engineer_III_-_PythonAWSKafka,https://jobright.ai/jobs/info/69f72a11db88714bcdfb81cb,https://JPMorganChase.contacthr.com/151951088,,,"Python, AWS Cloud services, AWS Lambda, AWS API Gateway, AWS DynamoDB, AWS S3, SQL databases, RESTful APIs, Microservices, Docker, Git, CI/CD",FAIL
SDE,98.00,VAST Data,Top Graduate Software Engineer - V-Force - New York,SEPY,Company_wise_Resume/VAST_Data_Top_Graduate_Software_Engineer_-_V-Force_-_New_Yor,https://jobright.ai/jobs/info/69f757cb81706a5bd216bdbe,https://www.comeet.com/jobs/vastdata/43.001/top-graduate-software-engineer---v-force---new-york/B7.765,,,"Programming languages - C, Programming languages - C++, Programming languages - Python, Data structures, Algorithms, English communication",FAIL
SDE,98.00,Cerebras,Inference Frontend,FE,Company_wise_Resume/Cerebras_Inference_Frontend,https://jobright.ai/jobs/info/6984b90b8da7a612045ef8ca,https://boards.greenhouse.io/embed/job_app?token=7619102003&utm_source=jobright,,,"Programming languages, C++",FAIL
SDE,98.00,Tech Consulting,Software Engineer,SEPY,Company_wise_Resume/Tech_Consulting_Software_Engineer,https://jobright.ai/jobs/info/69f7639d582f810f9c8cbee8,https://www.linkedin.com/jobs/view/4408381385,Software Architecture,Software Architecture,"Java, Object Oriented Programming, SQL, JavaScript, CSS, JQuery, HTML, Git, Data Structures, Algorithms, Design Patterns, English communication",FAIL
SDE,97.70,Amplify,Senior Software Engineer,SEPY,Company_wise_Resume/Amplify_Senior_Software_Engineer,https://jobright.ai/jobs/info/69320087fa28370be26c07bc,https://amplify.wd1.myworkdayjobs.com/Amplify_Careers/job/Remote---United-States/Senior-Software-Engineer_Req_12357-1?source=LinkedIn,GCP; Automated Testing,GCP; Automated Testing,"Software development, React, Server-side development, Node.js, MongoDB, AWS, Azure, Software design, AI integration, TypeScript, Self-driven learning",FAIL
SDE,97.45,Google,"Software Engineer III, Confidential Computing, Google Cloud Platform",SEPY,Company_wise_Resume/Google_Software_Engineer_III_Confidential_Computing_Google_C,https://jobright.ai/jobs/info/69a0a6db5218a8167671d383,https://careers.google.com/jobs/results/102561385346409158-software-engineer-iii/?src=Online/LinkedIn/linkedin_us&utm_source=linkedin&utm_medium=jobposting&utm_campaign=contract,,,"C++ programming, Go programming, Data structures, Algorithms, Software security, Cloud computing, Authentication protocols, Security protocols",FAIL
SDE,97.31,Axle,Senior Full Stack Developer,FS,Company_wise_Resume/Axle_Senior_Full_Stack_Developer,https://jobright.ai/jobs/info/69a1f6fd0da45516f16b408c,https://www.linkedin.com/jobs/view/4377936490,Full-stack development; Jenkins,Full-stack development; Jenkins,"TypeScript, JavaScript, Jupyter notebooks, Node.js, Angular 19+, NoSQL databases, MongoDB, Containers, Docker, Container orchestration, Kubernetes, GitHub Actions, Version control systems, Git, Unit testing, Generative AI technologies",FAIL
SDE,97.24,Cliff Services Inc,W2 Full Stack Java Developer (Kotlin + React + AI Tools),FS,Company_wise_Resume/Cliff_Services_Inc_W2_Full_Stack_Java_Developer_Kotlin_React,https://jobright.ai/jobs/info/69daa497738f2f099e8abc84,https://www.linkedin.com/jobs/view/4400594997,Spring Boot,Spring Boot,"Java, React JS, Microservices architecture, REST APIs, Databases, Cloud environments, Git, CI/CD pipelines",FAIL
